barcode_cpu,barcode_text_cpu
108,176
108,188
112,140
120,148
116,148
124,148
116,140
116,136
116,144
112,152
116,144
116,140
108,148
116,144
116,136
112,140
116,160
116,140
112,144
116,142
116,148
108,140
116,130
108,130
116,140
116,160
116,176
116,148
120,176
116,168
116,180
112,184
124,196
116,176
120,180
119,180
112,172
112,176
140,188
116,172
116,176
123,172
116,188
116,188
124,228
120,184
116,196
116,220
112,228
116,180
120,164
120,176
120,220
120,224
123,224
132,208
123,208
132,204
128,208
112,224
119,212
120,212
120,220
120,216
116,200
120,224
116,196
132,216
120,212
132,232
116,228
132,212
124,224
136,224
128,208
124,228
116,208
132,216
116,215
124,212
120,204
120,220
124,220
124,232
128,200
