object_cpu,object_mem,object_faces_cpu,object_faces_mem
136,2.1,220,2.1
176,1.8,256,2.1
180,1.5,216,1.9
176,1.6,192,1.8
176,1.7,188,1.8
160,1.5,172,1.4
164,1.5,168,1.8
204,1.9,134,1.3
176,1.6,160,1.6
168,1.1,176,1.6
180,1.5,172,1.3
180,1.8,184,1.1
184,1.4,184,2
184,1.7,168,2.1
176,1.7,180,2.1
180,2.1,156,2
172,1.6,136,2.1
168,1.5,156,2.1
168,2,160,1.8
172,1.7,176,2
176,1.8,172,1.5
184,1.8,168,1.6
188,1.7,168,1.1
160,1.8,156,2.2
172,1.9,168,2.2
172,1.7,180,2.1
188,1.7,152,2
172,1.2,172,1.9
184,1,168,1.3
192,1.9,160,1.8
164,1.4,192,2
180,1,176,1.6
180,2,196,1.7
192,1.8,180,1.4
176,1.9,180,1.1
188,1.8,188,2.1
188,1.8,184,2.2
168,2,172,1.8
192,1.5,152,1.6
180,1.8,164,2
108,1,180,2.1
192,1.8,184,1.9
188,1.9,196,1.7
172,2,200,1.8
192,1.8,172,1.6
188,1.3,176,1.3
192,1.6,160,1.1
200,1.5,184,1.4
156,1.9,160,1.1
188,1.6,160,1.1
172,1.4,148,1.9
180,1.8,144,1.4
184,1.3,140,2.1
164,1.8,168,1.8
168,1.5,164,2
172,1.1,188,1.7
