honest_cpu_trial1,honest_mem_trial1,mal_cpu_trial1,mal_mem_trial1
110,1.1,130,9.4
110,2,155,9.8
109,1.8,123,9.6
103,1.8,136,9.8
113,1.6,130,10
106,1.5,131,10.2
110,1.4,131,10.4
116,1.3,103,10.4
110,1.2,123,13.7
100,1.1,131,14.1
106,1.1,130,14.3
106,1.1,123,14.6
110,1.1,113,14.8
113,1.1,132,15
100,1.1,110,15.1
100,1.1,126,15.3
100,1.1,130,15.4
100,1.1,120,15.6
96.7,1.1,141,15.9
100,1.1,116,15.8
100,1.1,127,16
100,1.1,137,16.3
100,1.1,106,16.2
100,1.1,134,16.4
103,1.1,136,16.6
103,1.1,113,16.8
96.7,1.1,134,17
100,1.9,123,17.1
100,1.9,120,17
96.7,1.8,127,17.3
90.6,1.6,126,17.3
106,1.5,131,17.5
96.7,1.5,118,17.7
103,1.4,127,17.7
100,1.9,120,17.7
103,1.8,109,17.9
93.9,1.7,116,18.1
103,1.4,113,18.3
100,1.3,127,18.3
106,1.2,120,24
96.6,1.1,122,24.3
96.7,1.1,131,24.5
103,1.1,126,24.6
100,1.1,110,24.4
100,1.1,127,24.6
106,1.1,113,24.9
103,1.1,124,25
103,1.1,109,25.2
100,1.1,126,25.3
96.7,1.1,137,25.4
103,1.1,120,25.6
106,1.1,126,25.8
106,1.1,127,25.9
106,1.1,126,25.8
113,1.1,117,26
103,1.1,122,26.2
103,1.1,131,26.4
103,2,127,26.5
103,1.9,131,26.6
103,1.6,120,30.4
103,1.8,116,30.6
110,1.9,126,30.8
110,1.8,124,31.1
110,2,120,30.9
106,1.9,110,31.1
100,1.9,116,31.4
100,1.9,119,31.5
96.7,1.8,124,31.8
106,1.9,130,33.8
106,2,120,33.9
103,1.9,120,33.9
103,1.9,130,34.1
100,1.8,112,34.2
96.7,1.8,126,34.3
93.5,1.8,124,34.3
96.7,1.8,120,34.4
93.5,1.8,109,34.3
106,1.9,143,36.3
110,1.9,124,36.4
106,1.9,131,36.4
106,2,127,36.6
103,1.9,124,36.7
103,1.9,122,36.8
100,1.9,117,38.1
100,1.7,119,38.3
100,1.9,110,38.3
103,1.8,127,39.1
106,1.8,124,39.6
103,1.9,140,39.8
106,2,140,39.8
103,2,123,39.9
96.7,1.9,141,40
103,1.9,120,40.2
103,2,131,40.2
103,1.9,144,41.6
106,1.6,126,41.6
106,1.7,134,41.7
106,1.5,127,42.1
110,1.6,136,42.2
100,1.3,110,43.3
100,1.1,123,43.6
103,2,113,43.6
106,1.8,131,43.7
100,1.8,141,44.7
96.8,1.6,141,44.8
110,1.9,144,44.9
100,1.7,113,45
110,1.8,113,45.9
103,1.5,120,46.3
100,1.3,127,46.6
103,1.4,110,47
96.7,1.2,113,47.2
103,1.2,134,47.9
100,1.1,134,48.2
120,1.1,115,48.5
103,1.1,103,48.7
100,1.1,122,49
106,1.1,127,49.4
100,1.1,124,49.7
100,1.1,117,50
93.5,1.1,137,50.4
103,1.1,120,50.8
103,1.1,113,51
106,1.1,110,51.2
106,1.1,126,51.7
100,1.1,124,52
106,1.1,117,52.3
96.7,1.1,117,52.5
100,1.1,126,53.1
110,1.1,112,53.3
93.5,1.1,120,53.5
103,1.1,113,53.7
103,1.1,134,54.2
106,1.8,131,54.5
106,1.9,130,54.8
93.7,1.7,110,55.1
100,1.7,116,55.4
93.5,1.5,116,55.7
96.7,1.3,134,56.3
103,1.4,127,56.5
103,1.2,116,56.9
100,1.2,116,57.2
103,1.1,123,57.5
103,1.1,113,57.7
93.5,1.1,116,58.1
106,1.1,125,58.4
103,1.1,132,58.7
103,1.1,128,59
100,1.1,125,59.5
96.8,1.1,116,59.8
106,1.1,117,60.1
103,1.1,120,60.3
109,1.1,130,60.9
,,110,61
,,128,61.2
,,120,61.8
